Arvo Kokkonen Cavi-Art 170g punainen,499/kpl
Nordvågs ravintolafileitä,789/kpl
Siikafilee suomustettu kg,4999/kg
Pirkka Parhaat kampasimpukka 150g MSC pakaste,1195/kpl
Ahti juhlasilli maustekastikkeessa 240/150g,459/kpl
Jalostaja marinoitu tomaattisilli 220/110g MSC,369/kpl
Royal Greenland turskafileepala 375g MSC  pakaste,679/kpl
Jalostaja perinteinen sipulisilli 250/150g MSC,399/kpl
AK Cavi-art merilevävalmiste musta 170 g,499/kpl
Ahti tillisilli 240/150g,459/kpl
Jalostaja perinteinen makea silli 250/150g MSC,399/kpl
Abba lohipasteija 145g,309/kpl
Abba ruohosipuli- ja tillisilli 210g,389/kpl
Pirkka Parhaat rapumarinoitu silli 250g/125g MSC,399/kpl
Royal Greenland Grönlantilaisia kuorellisia katkarapuja 90/120 1000g pakaste,1315/kpl
Boy sinappisilli 560g,479/kpl
Abba tillisilli 240/120g,389/kpl
Myrskylän Savustettu kirjolohipala n.400g,2099/kg
Suomen Sillikonttori sipulisilli 280g/140g MSC,445/kpl
Tonnikalafile,3990/kg
Ahti perinteinen sipulisilli 240/150g,459/kpl
Abba ranskalainen sipulisilli 500/250g,629/kpl
"Äyriäistukku keitetty kuorittu jättikatkarapu 31-40, 500g",1590/kpl
Suomen Sillikonttori kevytsuolatut sillifileet 180g,n.300/kpl
Boy tillisilli 575/250g,479/kpl
Kalamestarin tiikerirapuvarras kpl,299/kpl
Pirkka suutarinlohi 280g /140g MSC,669/kpl
Jalostaja marinoitu jalosilli 220/110g MSC,369/kpl
"Kokonainen lohi tiskistä 1,5-2,5kg fileoituna",1699/kg
Disas Cavi-Art merilevävalmiste musta 80g,299/kpl
Royal Greenland kuorellisia katkarapuja 90/120 500g MSC pakaste,719/kpl
Savustettu Nieriä,2790/kg
Äyriäistukku Keitettyjä ravunpyrstöjä tilliliemessä 150g,999/kpl
Kuhafile Suomi,4590/kg
Pirkka Parhaat basilika-tilli silli 260g MSC,399/kpl
Äyriäistukku isoja tuoreita katkarapuja suolaliemessä 150g,890/kpl
Myrskylän Kylmäsavustettu kirjolohiviipale n.200g,4990/kg
SJØ punaravun pyrstöjä liemessä 280/150g,935/kpl
Pirkka Parhaat mätimajoneesisilli 250g/125g MSC,399/kpl
Abba kesäsilli 240/120g kausimaku,389/kpl
Lerøy tuore elävä sinisimpukka 1 kg MSC,995/kpl
Abba inkivääri-limesilli 240/120g kausimaku,389/kpl
Suomen Sillikonttori puolukka-karpalosilli 280g/140g MSC,445/kpl
Disas Kylmäsavustettukirjolohenmäti 100g,1190/kpl
Seilberg nahaton kuhafilee 300g,1040/kpl
Disas kirjolohenmäti 250g,1990/kpl
Lysekils Vegiar merileväpasteija 190g,409/kpl
Hyvä apaja kylmäsavulohiviipaleet 150g,959/kpl
Disas siianmäti kanadalainen 100g,1990/kpl
Pirkka silakkarullat marinadissa 280/140g MSC,669/kpl
Jokisen Eväät rapumarinoitu silli 250g,315/kpl
Jokisen Eväät mustaherukkasilli 250g,315/kpl
Äyriäistukku Cavi-art musta 170g,599/kpl
Äyriäistukku sinisimpukanliha 200g,349/kpl
Pirkka Parhaat katajanmarjasilakkafileet 280/140g MSC,669/kpl
Äyriäistukku kampasimpukanliha 200g,1399/kpl
Disas Cavi-Art merilevävalmiste punainen 80g,299/kpl
Suomen Sillikonttori ginkatajasilli 280g/140g MSC,445/kpl
Hyvä apaja graavilohiviipaleet 150g,899/kpl
Äyriäistukku ravunmakuinen kalapuikko 250g,350/kpl
Kalaneuvos savukirjolohifilee ruodoton n700g,n.2513/kpl
Disas muikunmäti 100g,2690/kpl
"Nieriä kokonainen, VILJELTY",1999/kg
Äyriäistukku Keitettyjä jättikatkarapuja suolaliemessä 150g,790/kpl
Äyriäistukku muikunmäti 150g Suomi,3990/kpl
Lapin kylmäsavustettu siivutettu hauki 100g,689/kpl
Suomen Sillikonttori mustaherukkasilli 280g/140g MSC,445/kpl
Lerøy ruodoton lohifileepala 200g,869/kpl
Äyriäistukku Isoja tuoreita katkarapuja suolaliemessä 400g,1995/kpl
Siianmäti 100 g pakaste,1890/kpl
Äyriäistukku kirjolohenmäti 250g,2890/kpl
Pirkka Parhaat savustetut muikut marinadissa 414g/180g,755/kpl
Kalamestarin kalapihvi,n.500/kpl
Äyriäistukku kuorittu LUXUS katkarapu 300g/270g,1290/kpl
Äyriäistukku paneroidut mustekalarenkaat 500g,799/kpl
AK MSC sinisimpukka öljyssä 120/200g savustettu,499/kpl
Jalostaja marinoitu kolmen sipulin silli 220/110g MSC,369/kpl
Katkarapuskagen ,3999/kg
Suomen Sillikonttorii sillinpaloja lasimestarikastikkeessa 280g/140g MSC,445/kpl
Martin kala lipeäkala,n.1590/kpl
Eriksson kevyesti esikeitetty vihersimpukka 500g kuorellinen pakaste,1145/kpl
Äyriäistukku Cavi-art punainen 170g,599/kpl
Disas kylmäsavustettu kirjolohenmäti 250 g,1990/kpl
Äyriäistukku Keitettyjä ravunpyrstöjä tilliliemessä 400g,2490/kpl
